timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,56.737060138721,43.262939861279,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,None
60,60000,60000,38.1,48.3,56.737060138721,43.262939861279,9,17,1.0,1.0,9.0,17.0,1.0,1.0,0.01,0.01,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.666666666666667,3.5294117647058822
120,59129.55490895421,60217.64509104579,38.1,48.3,56.737060138721,43.262939861279,21,29,1.0,1.0,21.0,29.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.0,5.0
181,59661.247216646516,59685.95278335348,38.1,48.3,56.737060138721,43.262939861279,31,39,1.0,1.0,31.0,39.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.1,6.1
242,59825.81864521795,59521.38135478206,38.1,48.3,56.737060138721,43.262939861279,44,53,1.0,1.0,44.0,53.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.6923076923076925,4.357142857142857
302,59903.226598089816,59443.973401910174,38.1,48.3,56.737060138721,43.262939861279,54,68,1.0,1.0,54.0,68.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.0,4.0
362,59824.132462548165,59523.06753745185,38.1,48.3,56.737060138721,43.262939861279,66,78,1.0,1.0,66.0,78.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.0,6.0
423,59937.247216646516,59409.95278335348,38.1,48.3,56.737060138721,43.262939861279,79,96,1.0,1.0,79.0,96.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.6923076923076925,3.388888888888889
483,59887.53293093223,59459.66706906777,38.1,48.3,56.737060138721,43.262939861279,89,114,1.0,1.0,89.0,114.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.0,3.3333333333333335
543,59793.897462951936,59553.30253704806,38.1,48.3,56.737060138721,43.262939861279,107,130,1.0,1.0,107.0,130.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.3333333333333335,3.75
604,59887.88012803892,59459.31987196108,50.5,35.9,56.737060138721,43.262939861279,118,142,1.0,1.0,118.0,142.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.545454545454546,5.083333333333333
664,60500.139524338825,58847.06047566117,50.5,35.9,56.737060138721,43.262939861279,132,154,1.0,1.0,132.0,154.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.285714285714286,5.0
724,60555.52413972345,58791.67586027655,50.5,35.9,56.737060138721,43.262939861279,147,168,1.0,1.0,147.0,168.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.0,4.285714285714286
785,60592.44721664653,58754.752783353484,50.5,35.9,56.737060138721,43.262939861279,165,180,1.0,1.0,165.0,180.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.388888888888889,5.083333333333333
845,60675.92547751609,58671.27452248391,50.5,35.9,56.737060138721,43.262939861279,178,186,1.0,1.0,178.0,186.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.615384615384615,10.0
906,60753.32633752564,58593.873662474354,50.5,35.9,56.737060138721,43.262939861279,198,203,1.0,1.0,198.0,203.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.05,3.588235294117647
966,60787.55943609789,58559.6405639021,50.5,35.9,56.737060138721,43.262939861279,209,213,1.0,1.0,209.0,213.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.454545454545454,6.0
1026,60798.32399389771,58548.8760061023,50.5,35.9,56.737060138721,43.262939861279,223,228,1.0,1.0,223.0,228.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.285714285714286,4.0
1087,60792.53590844252,58554.66409155747,50.5,35.9,56.737060138721,43.262939861279,239,238,1.0,1.0,239.0,238.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.8125,6.1
1147,60839.99438645785,58507.205613542166,50.5,35.9,56.737060138721,43.262939861279,255,248,1.0,1.0,255.0,248.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.75,6.0
1207,60882.54662022505,58464.65337977494,50.5,35.9,56.737060138721,43.262939861279,266,257,1.0,1.0,266.0,257.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.454545454545454,6.666666666666667
1268,60894.3975034534,58452.802496546596,50.5,35.9,56.737060138721,43.262939861279,282,272,1.0,1.0,282.0,272.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.8125,4.066666666666666
1328,60897.429166105016,58449.770833894996,50.5,35.9,56.737060138721,43.262939861279,290,285,1.0,1.0,290.0,285.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,7.5,4.615384615384615
1388,60863.75156447261,58483.44843552739,50.5,35.9,56.737060138721,43.262939861279,300,293,1.0,1.0,300.0,293.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.0,7.5
1449,60874.94300079491,58472.256999205085,50.5,35.9,56.737060138721,43.262939861279,314,302,1.0,1.0,314.0,302.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.357142857142857,6.777777777777778
1509,60902.577086776386,58444.62291322361,50.5,35.9,56.737060138721,43.262939861279,336,318,1.0,1.0,336.0,318.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,2.727272727272727,3.75
1570,60931.52978545385,58415.670214546146,50.5,35.9,56.737060138721,43.262939861279,353,330,1.0,1.0,353.0,330.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.588235294117647,5.083333333333333
1630,60953.67708487492,58393.522915125075,50.5,35.9,56.737060138721,43.262939861279,362,347,1.0,1.0,362.0,347.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.666666666666667,3.5294117647058822
1691,60908.61082736584,58438.58917263416,50.5,35.9,56.737060138721,43.262939861279,381,354,1.0,1.0,381.0,354.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.210526315789474,8.714285714285714
1751,60964.69211460571,58382.50788539429,50.5,35.9,56.737060138721,43.262939861279,391,361,1.0,1.0,391.0,361.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.0,8.571428571428571
1826,60976.064237923114,58371.13576207688,50.5,35.9,56.737060138721,43.262939861279,396,366,1.0,1.0,396.0,366.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,15.0,15.0
1887,60974.17950011108,58373.02049988891,50.5,35.9,56.737060138721,43.262939861279,404,374,1.0,1.0,404.0,374.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,7.625,7.625
1948,60971.264697366314,58375.93530263369,50.5,35.9,56.737060138721,43.262939861279,413,383,1.0,1.0,413.0,383.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.777777777777778,6.777777777777778
2008,60968.125608606315,58379.07439139368,50.5,35.9,56.737060138721,43.262939861279,426,394,1.0,1.0,426.0,394.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.615384615384615,5.454545454545454
2069,60972.93502152458,58374.26497847543,50.5,35.9,56.737060138721,43.262939861279,430,398,1.0,1.0,430.0,398.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,15.25,15.25
2129,60971.577651429136,58375.62234857087,50.5,35.9,56.737060138721,43.262939861279,437,404,1.0,1.0,437.0,404.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,8.571428571428571,10.0
2189,60973.70762092714,58373.49237907286,50.5,35.9,56.737060138721,43.262939861279,451,413,1.0,1.0,451.0,413.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.285714285714286,6.666666666666667
2250,60990.78054997986,58356.41945002015,50.5,35.9,56.737060138721,43.262939861279,463,419,1.0,1.0,463.0,419.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.083333333333333,10.166666666666666
2311,61012.03905338122,58335.16094661878,50.5,35.9,56.737060138721,43.262939861279,474,432,1.0,1.0,474.0,432.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.545454545454546,4.6923076923076925
2371,60999.33463386506,58347.86536613494,50.5,35.9,56.737060138721,43.262939861279,486,442,1.0,1.0,486.0,442.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.0,6.0
2431,61003.13687181893,58344.063128181064,50.5,35.9,56.737060138721,43.262939861279,501,455,1.0,1.0,501.0,455.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.0,4.615384615384615
2492,61005.668973968706,58341.531026031305,50.5,35.9,56.737060138721,43.262939861279,514,462,1.0,1.0,514.0,462.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.6923076923076925,8.714285714285714
2552,61024.25049533506,58322.94950466496,50.5,35.9,56.737060138721,43.262939861279,534,472,1.0,1.0,534.0,472.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.0,6.0
2613,61054.316003922875,58292.883996077144,50.5,35.9,56.737060138721,43.262939861279,553,480,1.0,1.0,553.0,480.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.210526315789474,7.625
2673,61086.85186330672,58260.34813669327,50.5,35.9,56.737060138721,43.262939861279,565,486,1.0,1.0,565.0,486.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.0,10.0
