timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,None,None
61,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,None,None
124,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,0,0,1.0,1.0,0.0,0.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,None,None
282,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,1,2,1.0,1.0,0.0,2.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,158.0,79.0
344,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,1,2,1.0,1.0,0.0,2.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,None,None
433,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,1,7,1.0,1.0,0.0,6.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,None,17.8
502,57286.71522477252,62060.484775227495,38.1,48.3,62.14929353977099,37.850706460229006,1,7,1.0,1.0,0.0,6.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,None,None
564,57286.71522477252,62060.484775227495,38.1,48.3,62.14929353977099,37.850706460229006,1,7,1.0,1.0,0.0,6.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,None,None
625,57286.71522477252,62060.484775227495,38.1,48.3,62.14929353977099,37.850706460229006,1,7,1.0,1.0,0.0,6.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,7.353,22.962,None,None
687,57286.71522477252,62060.484775227495,0.0,86.4,62.14929353977099,37.850706460229006,1,7,1.0,1.0,0.0,6.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,4.143286235984733,0.0029205792021781635,0,0,67.679486908301,32.320513091699,7.353,22.962,None,None
767,55457.91522477252,63889.28477522748,0.0,86.4,62.14929353977099,37.850706460229006,1,7,1.0,1.0,0.0,6.0,4.511965793886733,0.0024938667509027002,0.04511965793886733,2.4938667509027e-05,4.143286235984733,0.0029205792021781635,35.119657938867334,0,67.679486908301,32.320513091699,7.353,22.962,None,None
829,55457.91522477252,63889.28477522748,0.0,86.4,62.14929353977099,37.850706460229006,1,7,1.0,1.0,0.0,6.0,4.511965793886733,0.0024938667509027002,0.04511965793886733,2.4938667509027e-05,4.143286235984733,0.0029205792021781635,35.119657938867334,0,67.679486908301,32.320513091699,7.353,22.962,None,None
889,55457.91522477252,63889.28477522748,0.0,86.4,62.14929353977099,37.850706460229006,1,14,1.0,1.0,0.0,11.0,4.511965793886733,0.0024938667509027002,0.04511965793886733,2.4938667509027e-05,4.143286235984733,0.0029205792021781635,35.119657938867334,0,67.679486908301,32.320513091699,7.353,22.962,None,8.571428571428571
